TP-LINK_3051 1.3243243;TP-LINK_35EB 1.0000000;TP-LINK_5958 1.2162162;TP-LINK_3625 1.2162162;Four-Faith-2 1.0000000;Four-Faith-3 1.1081081;TP-LINK_E7D2 1.1891892;
TP-LINK_E7D2 1.0731707;Four-Faith-3 1.0000000;TP-LINK_35EB 1.0000000;TP-LINK_3051 1.2195122;Four-Faith-2 1.0243902;TP-LINK_5958 1.1219512;TP-LINK_3625 1.0243902;
TP-LINK_3625 1.0731707;TP-LINK_3051 1.1951220;TP-LINK_E7D2 1.0731707;TP-LINK_5958 1.0000000;Four-Faith-3 1.0243902;Four-Faith-2 1.0243902;TP-LINK_35EB 1.0243902;
TP-LINK_3625 1.1219512;TP-LINK_5958 1.0731707;Four-Faith-2 1.0000000;TP-LINK_3051 1.1951220;TP-LINK_E7D2 1.0975610;TP-LINK_35EB 1.0243902;Four-Faith-3 1.0000000;
Four-Faith-3 1.0000000;TP-LINK_E7D2 1.0487805;Four-Faith-2 1.0487805;TP-LINK_5958 1.0243902;TP-LINK_35EB 1.0000000;TP-LINK_3051 1.1951220;TP-LINK_3625 1.0487805;
TP-LINK_35EB 1.0250000;Four-Faith-3 1.0000000;TP-LINK_E7D2 1.1500000;TP-LINK_5958 1.0750000;TP-LINK_3625 1.0750000;TP-LINK_3051 1.2250000;Four-Faith-2 1.0750000;
TP-LINK_3051 1.3428571;Four-Faith-2 1.2285714;TP-LINK_5958 1.2000000;TP-LINK_3625 1.2285714;Four-Faith-3 1.0000000;TP-LINK_E7D2 1.2857143;TP-LINK_35EB 1.1714286;
Four-Faith-3 1.0000000;TP-LINK_3625 1.0769231;Four-Faith-2 1.0000000;TP-LINK_35EB 1.0512821;TP-LINK_3051 1.2564103;TP-LINK_E7D2 1.1282051;TP-LINK_5958 1.0769231;
TP-LINK_5958 1.1666667;TP-LINK_35EB 1.1111111;Four-Faith-2 1.0000000;TP-LINK_E7D2 1.3611111;TP-LINK_3625 1.2500000;TP-LINK_3051 1.3611111;Four-Faith-3 1.1111111;
Four-Faith-2 1.0270270;TP-LINK_5958 1.0540541;TP-LINK_3625 1.1621622;TP-LINK_3051 1.3783784;Four-Faith-3 1.1351351;TP-LINK_35EB 1.0000000;TP-LINK_E7D2 1.2432432;
TP-LINK_E7D2 1.2857143;TP-LINK_3051 1.4571429;TP-LINK_5958 1.1428571;TP-LINK_35EB 1.2285714;TP-LINK_3625 1.4000000;Four-Faith-3 1.2000000;Four-Faith-2 1.0000000;
TP-LINK_35EB 1.1666667;TP-LINK_3051 1.3055556;TP-LINK_5958 1.1388889;TP-LINK_3625 1.3333333;Four-Faith-3 1.2777778;TP-LINK_E7D2 1.3611111;Four-Faith-2 1.0000000;
TP-LINK_3625 1.2000000;TP-LINK_5958 1.0000000;Four-Faith-3 1.1500000;TP-LINK_3051 1.1750000;TP-LINK_E7D2 1.1750000;Four-Faith-2 1.0000000;TP-LINK_35EB 1.0750000;
